"club_id","club_number","club_name","address1","club_name_identifier","address2","locator","city","state","zip","country","phone","fax","email","website_url","open","map"
"26","230","Billings","1780 Shiloh Rd.","Billings - 230","","next to Subway on Shiloh","Billings","MT","59106","USA","4066564309","","billings@snapfitness.com","www.snapfitness.com/billings","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_230.pdf"
"27","222","Bismarck East","3111 N. 14th St.","Bismarck East - 222","","Behind North Applebee's","Bismarck","ND","58503","USA","7017517627","","bismarck@snapfitness.com","www.snapfitness.com/bismarckeast","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_222.pdf"
"28","23","Blaine","10950 Club West Parkway","Blaine - 23","Suite 200 & 210","Club West Mall (109th & Hwy 65)","Blaine","MN","55449","USA","763-862-3324","","blaine@snapfitness.com","www.snapfitness.com/blaine","Yes",""
"29","33","Bloomington","10800 Nesbitt Ave. S","Bloomington - 33","","West of Normandale on Old Shakopee","Bloomington","MN","55437","USA","9528845166","","bloomington@snapfitness.com","www.snapfitness.com/bloomington","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_33.pdf"
"30","76","Brainerd","1313 S. 6th St.","Brainerd - 76","","","Brainerd","MN","56401","USA","2188258100","","brainerd@snapfitness.com","www.snapfitness.com/brainerd","Yes",""
"31","69","Brighton","35 North 42nd Ave.","Brighton - 69","","By Meineke","Brighton","CO","80601","USA","3036591261","","brighton@snapfitness.com","www.snapfitness.com/brighton","Yes",""
"32","249","Brookings","1009 Main Ave. South","Brookings - 249","","","Brookings","SD","57006","USA","6056927627","","brookings@snapfitness.com","www.snapfitness.com/brookings","Yes",""
"34","182","Osseo","8507 Jefferson Lane North","Osseo - 182","","Right next to the Holiday Store","Brooklyn Park","MN","55445","USA","7633154689","","osseo@snapfitness.com","www.snapfitness.com/osseo","Yes",""
"36","50","Burnsville","1024 County Road 42 East","Burnsville - 50","","","Burnsville","MN","55337","USA","9527361348","","burnsville@snapfitness.com","www.snapfitness.com/burnsville","Yes",""
"37","55","Byron","1067 4th St. NE Suite 100","Byron - 55","","","Byron","MN","55920","USA","5077757627","","byron@snapfitness.com","www.snapfitness.com/byron","Yes",""
"40","223","Cedar Falls","401 Main Street","Cedar Falls - 223","Suite 100","","Cedar Falls","IA","50613","USA","3192771127","","cedarfalls@snapfitness.com","www.snapfitness.com/cedarfalls","Yes",""
"44","221","Charlotte","11914 Elm Lane","Charlotte - 221","","In between BI-LO and Shell Gas","Charlotte","NC","28277","USA","7045420009","","charlotte@snapfitness.com","www.snapfitness.com/charlotte","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_221.pdf"
"45","250","Chaska","700 North Chestnut St.","Chaska - 250","","Across from Fireman's Park","Chaska","MN","55318","USA","9524486500","","chaska@snapfitness.com","www.snapfitness.com/chaska","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_250.pdf"
"46","138","Chatham","1061 Jason Pl.","Chatham - 138","","In County Market Shopping Center","Chatham","IL","62629","USA","2178913006","","chatham@snapfitness.com","www.snapfitness.com/chatham","Yes",""
"47","15","Chippewa Falls","475 Chippewa Mall Drive #305","Chippewa Falls - 15","","Located next to Micon Cinema","Chippewa Falls","WI","54729","USA","7157230602","","chippewafalls@snapfitness.com","www.snapfitness.com/chippewafalls","Yes",""
"48","63","Clearwater","800 Nelson Drive","Clearwater - 63","","Located in the strip mall accross from Nelson Bros.","Clearwater","MN","55320","USA","3205586088","","clearwater@snapfitness.com","www.snapfitness.com/clearwater","Yes",""
"49","44","Clive","2200 NW 159th St. #200","Clive - 44","","Just off Hickman behind Wendy's","Clive","IA","50325","USA","5159877777","","clive@snapfitness.com","www.snapfitness.com/clive","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_44.pdf"
"50","11","Cokato","201 Broadway Ave. South","Cokato - 11","","","Cokato","MN","55321","USA","3202860030","","cokato@snapfitness.com","www.snapfitness.com/cokato","Yes",""
"52","31","Cold Spring","20 Red River Ave. South","Cold Spring - 31","Suite #120","","Cold Spring","MN","56320","USA","3206858836","","coldspring@snapfitness.com","www.snapfitness.com/coldspring","Yes",""
"53","131","Reunion","18240 E. 104th Ave.","Reunion - 131","","","Commerce City","CO","80022","USA","3032897333","","commercecity@snapfitness.com","www.snapfitness.com/commercecity","Yes",""
"54","210","Conneaut","230 State St.","Conneaut - 210","","","Conneaut","OH","44030","USA","4405999951","","conneaut@snapfitness.com","www.snapfitness.com/conneaut","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_210.pdf"
"55","57","Coon Rapids","455 99th Ave. NW","Coon Rapids - 57","","Next to Showplace 16","Coon Rapids","MN","55433","USA","7637867627","","coonrapids@snapfitness.com","www.snapfitness.com/coonrapids","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_57.pdf"
"56","7","Cottage Grove","8700 E. Point Douglas Rd S.","Cottage Grove - 7","","Between Cub Foods & Menards","Cottage Grove","MN","55016","USA","6517692944","","cottagegrove@snapfitness.com","www.snapfitness.com/cottagegrove","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_7.pdf"
"61","21","Delano","327 13th Street South","Delano - 21","Suite 130","Between True Value Hardware and the CVS Pharmacy","Delano","MN","55328","USA","7639729000","","delano@snapfitness.com","www.snapfitness.com/delano","Yes",""
"62","236","Denver","1441 South Holly St.","Denver - 236","","At Holly Street and Florida Ave","Denver","CO","80222","USA","3037577627","","denver1@snapfitness.com","www.snapfitness.com/denver1","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_236.pdf"
"64","144","Des Moines","4123 University Ave.","Des Moines - 144","","","Des Moines","IA","50311","USA","5153397018","","desmoines1@snapfitness.com","www.snapfitness.com/desmoines1","Yes",""
"66","181","Duluth","4425 E. Superior St.","Duluth - 181","","","Duluth","MN","55804","USA","2185258363","","duluth@snapfitness.com","www.snapfitness.com/duluth","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_181.pdf"
"67","124","Eagan - Duckwood Drive","1340 Duckwood Drive","Eagan-Duckwood Drive - 124","","Between Good Year Tires & Anchor Bank","Eagan","MN","55123","USA","6516864991","","eagan@snapfitness.com","www.snapfitness.com/eagan","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_124.pdf"
"68","151","Eagan - Cliff Lake Rd.","1960 Cliff Lake Rd. Suite 115","Eagan-Cliff Lake Rd. - 151","","Located between Cub Foods & Target","Eagan","MN","55122","USA","6512893070","","eagan2@snapfitness.com","www.snapfitness.com/eagan2","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_151.pdf"
"69","152","Eagan - Diffley Rd.","525 Diffley Rd.","Eagan-Diffley Rd. - 152","","(Corner of Hwy 3 & Diffley Rd.)","Eagan","MN","55123","USA","6512040943","","eagan3@snapfitness.com","www.snapfitness.com/eagan3","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_152.pdf"
"70","196","Eaton","201 South Elm","Eaton - 196","","West of HWY 85 next to Subway","Eaton","CO","80615","USA","9704543741","","eaton@snapfitness.com","www.snapfitness.com/eaton","Yes",""
"71","45","Eau Claire","3445 E. Hamilton Ave.","Eau Claire - 45","","","Eau Claire","WI","54701","USA","7158309999","","eauclaire@snapfitness.com","www.snapfitness.com/eauclaire","Yes",""
"72","35","Eden Prairie","8767 Columbine Rd.","Eden Prairie - 35","","","Eden Prairie","MN","55344","USA","9529447627","","edenprairie@snapfitness.com","www.snapfitness.com/edenprairie","Yes",""
"73","90","Ellsworth","185 E Main #5","Ellsworth - 90","","","Ellsworth","WI","54011","USA","7152733734","","ellsworth@snapfitness.com","www.snapfitness.com/ellsworth","Yes",""
"75","85","Fargo","4265 45th Street S.","Fargo - 85","","Shoppes at Osgood","Fargo","ND","58104","USA","7013563651","","fargo1@snapfitness.com","www.snapfitness.com/fargo1","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_85.pdf"
"79","32","Farmington","18450 Pilot Knob Road","Farmington - 32","","Marketplace Shopping Center","Farmington","MN","55024","USA","6514602220","","farmington@snapfitness.com","www.snapfitness.com/farmington","Yes",""
"80","244","Ferndale","23000 Woodward Ave.","Ferndale - 244","","Three blocks north of 9 Mile","Ferndale","MI","48220","USA","2483994030","","ferndale@snapfitness.com","www.snapfitness.com/ferndale","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_244.pdf"
"82","59","Foley","10  2nd Ave. W.","Foley - 59","","On Hwy 25 South of Hwy 23","Foley","MN","56329","USA","3209684900","","foley@snapfitness.com","www.snapfitness.com/foley","Yes",""
"83","194","Fond du Lac (West)","512 N. Rolling Meadows Dr.","Fond du Lac (West) - 194","","Across from Target","Fond du Lac","WI","54937","USA","9209227627","","fonddulac@snapfitness.com","www.snapfitness.com/fonddulac","Yes",""
"84","67","Ft. Atkinson","825 Lexington Blvd. Ste 1","Ft. Atkinson - 67","","Across from Pick & Save","Ft. Atkinson","WI","53538","USA","9205689610","","fortatkinson@snapfitness.com","www.snapfitness.com/ftatkinson","Yes",""
"85","193","Fort Collins","1015 South Taft Hill Rd.","Fort Collins - 193","Unit V","In the King Soopers Shopping Center","Fort Collins","CO","80521","USA","9704721777","","fortcollins@snapfitness.com","www.snapfitness.com/fortcollins","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_193.pdf"
"86","171","Edina","4402 France Ave. South","Edina - 171","","","Edina","MN","55410","USA","6129203385","","franceave@snapfitness.com","www.snapfitness.com/Edina","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_171.pdf"
"88","3","Glencoe","712 11th Street East","Glencoe - 3","","","Glencoe","MN","55336","USA","3208645565","","glencoe@snapfitness.com","www.snapfitness.com/glencoe","Yes",""
"90","80","Gonzales","625 South Burnside Ave.","Gonzales - 80","","Located in Magnolia Plaza!","Gonzales","LA","70737","USA","2256441297","","gonzales@snapfitness.com","www.snapfitness.com/gonzales","Yes",""
"92","169","Grand Rapids","5500 Cascade Road","Grand Rapids - 169","","Watermark Country Club","Grand Rapids","MI","49546","USA","6169492000","","grandrapids@snapfitness.com","www.snapfitness.com/grandrapids","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_169.pdf"
"93","192","Grandville","4830 Wilson Ave. Suite 610","Grandville - 192","","","Grandville","MI","49418","USA","6165347627","","grandville@snapfitness.com","www.snapfitness.com/grandville","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_192.pdf"
"95","117","Central/Greenwell Springs","14395 Greenwell Springs Road","Central/Greenwell Springs - 117","","","Greenwell Springs","LA","70739","USA","2252615008","","greenwellsprings@snapfitness.com","www.snapfitness.com/greenwellsprings","Yes",""
"96","119","Hammond","1905 West Thomas St.","Hammond - 119","","","Hammond","LA","70401","USA","9853401096","","hammond@snapfitness.com","www.snapfitness.com/hammond","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_119.pdf"
"97","212","Hartland","365 Cottonwood","Hartland - 212","","between police dept and RR tracks","Hartland","WI","53029","USA","2623671800","","hartland@snapfitness.com","www.snapfitness.com/hartland","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_212.pdf"
"98","10","Hastings","275 33rd West St. Suite B","Hastings - 10","","","Hastings","MN","55033","USA","6514389309","","hastings@snapfitness.com","www.snapfitness.com/hastings","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_10.pdf"
"99","195","Hattiesburg","3906 Hardy St.","Hattiesburg - 195","","Next to the Purple Parrot Cafe","Hattiesburg","MS","39402","USA","6012683958","","hattiesburg@snapfitness.com","www.snapfitness.com/hattiesburg","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_195.pdf"
"100","51","Hayward","10342 Dyno Drive","Hayward - 51","North Country Mall","Hwy 63 South","Hayward","WI","54843","USA","7159342988","","hayward@snapfitness.com","www.snapfitness.com/hayward","Yes",""
"104","40","Hopkins","15 8th Ave North","Hopkins - 40","","Hopkins Health & Wellness Cntr building","Hopkins","MN","55343","USA","9529383456","","hopkins@snapfitness.com","www.snapfitness.com/hopkins","Yes",""
"105","118","Howard Lake","613 8th Ave.","Howard Lake - 118","","","Howard Lake","MN","55349","USA","3205433450","","howardlake@snapfitness.com","www.snapfitness.com/howardlake","Yes",""
"106","36","Hudson","824 Carmichael Rd.","Hudson - 36","","Club Address","Hudson","WI","54016","USA","7153777950","","hudson@snapfitness.com","www.snapfitness.com/hudson","Yes",""
"107","155","Hugo","14755 Victor Hugo Blvd.","Hugo - 155","Ste. 107 & 108","Victor Hugo Blvd & Frenchman Rd. N.","Hugo","MN","55038","USA","651-464-4833","","hugo@snapfitness.com","www.snapfitness.com/hugo","Yes",""
"108","157","Hutchinson","114 Main Street North","Hutchinson - 157","","","Hutchinson","MN","55350","USA","3202347627","","hutchinson@snapfitness.com","www.snapfitness.com/hutchinson","Yes",""
"109","43","Inver Grove Heights","3056 East 65th St.","Inver Grove Heights - 43","","SE corner of Cahill & 65th St.","Inver Grove Heights","MN","55076","USA","6514555113","","invergroveheights@snapfitness.com","www.snapfitness.com/invergroveheights","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_43.pdf"
"112","64","Johnston","5525 Merle Hay Rd. Suite 175","Johnston - 64","","1/2 mile north of I35/I80","Johnston","IA","50131","USA","5152765700","","johnston@snapfitness.com","www.snapfitness.com/johnston","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_64.pdf"
"113","27","Kenner","910 W. Esplanade Ave.","Kenner - 27","Suite D","","Kenner","LA","70065","USA","5043056220","","kenner@snapfitness.com","www.snapfitness.com/kenner","Yes",""
"115","111","La Place","524-546 Belle Terre Blvd.","La Place - 111","","Across from Laplace Ford","La Place","LA","70068","USA","9856514404","","laplace@snapfitness.com","www.snapfitness.com/laplace","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_111.pdf"
"116","184","La Crosse-Village","2432 State Road","La Crosse-Village - 184","","Village Shopping Ctr.","La Crosse","WI","54601","USA","6087885880","","lacrosse@snapfitness.com","www.snapfitness.com/lacrosse","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_184.pdf"
"117","170","Lake Mills","362 Tyranena Park Rd.","Lake Mills - 170","","Next to US Cellular","Lake Mills","WI","53551","USA","9205412226","","lakemills@snapfitness.com","www.snapfitness.com/lakemills","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_170.pdf"
"118","62","Lakeland","356 S. St. Croix Trail","Lakeland - 62","","","Lakeland","MN","55043","USA","6514365481","","lakeland@snapfitness.com","www.snapfitness.com/lakeland","Yes",""
"119","108","Las Vegas","3350 Novat Street Suite 160","Las Vegas - 108","(corner of Cheyenne & I - 215)","NW Corner of I-215 and Cheyenne","Las Vegas","NV","89129","USA","7027314100","","lasvegas1@snapfitness.com","www.snapfitness.com/lasvegas1","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_108.pdf"
"120","145","Las Vegas","8360 N. Decatur Blvd.","Las Vegas - 145","Suite 106","2.7 Miles North of I-215","North Las Vegas","NV","89131","USA","7025863089","","lasvegas2@snapfitness.com","www.snapfitness.com/lasvegas2","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_145.pdf"
"121","97","Le Sueur","202 A Valleygreen Square","Le Sueur - 97","","Valleygreen Square Mall","Le Sueur","MN","56058","USA","5076654100","","lesueur@snapfitness.com","www.snapfitness.com/lesueur","Yes",""
"123","37","Lincoln","5633 NW 1st Street, Suite #105","Lincoln - 37","","Highlands Area! (next to Amigos)","Lincoln","NE","68521","USA","4024765444","","lincoln@snapfitness.com","www.snapfitness.com/lincoln","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_37.pdf"
"124","113","Lincoln N","1777 N 86th St.","Lincoln N - 113","","","Lincoln","NE","68505","USA","4023270182","","lincoln2@snapfitness.com","www.snapfitness.com/lincoln2","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_113.pdf"
"125","190","Lincoln","4910 Old Cheney Road, Suite #1","Lincoln - 190","","4910 Old Cheney (west of Racquet Club)","Lincoln","NE","68516","USA","4024767627","","lincoln3@snapfitness.com","www.snapfitness.com/lincoln3","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_190.pdf"
"126","4","Lino Lakes","6511 Ware Rd. #180","Lino Lakes - 4","Spirit Hills Mall","Spirit Hills Mall: Birch & Hodgson","Lino Lakes","MN","55014","USA","651-415-9628","","linolakes@snapfitness.com","www.snapfitness.com/linolakes","Yes",""
"127","12","Litchfield","27 East Depot St.","Litchfield - 12","","Hwy US 12 next to Wells Fargo","Litchfield","MN","55355","USA","3205931429","","litchfield@snapfitness.com","www.snapfitness.com/litchfield","Yes",""
"128","173","Little Canada","2800 Rice St.","Little Canada - 173","","At Rice St and Little Canada Rd","St. Paul","MN","55113","USA","6514840428","","littlecanada@snapfitness.com","www.snapfitness.com/littlecanada","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_173.pdf"
"131","220","Loretto","145 Railway St. W.","Loretto - 220","","","Loretto","MN","55357","USA","7634794449","","loretto@snapfitness.com","www.snapfitness.com/loretto","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_220.pdf"
"133","86","Mandeville","3441 East Causeway Approach","Mandeville - 86","Suite #10","","Mandeville","LA","70448","USA","9856747627","","mandeville@snapfitness.com","www.snapfitness.com/mandeville","Yes",""
"134","48","Maple Grove","9475 Garland Lane N.","Maple Grove - 48","","Behind Walmart, next to Foss Swim.","Maple Grove","MN","55311","USA","7634933488","","maplegrove@snapfitness.com","www.snapfitness.com/maplegrove","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_48.pdf"
"136","107","Marshfield","705 S. Central Ave.","Marshfield - 107","","Next to Pick'n Save & Sun Tan City","Marshfield","WI","54449","USA","7153873488","","marshfield@snapfitness.com","www.snapfitness.com/marshfield","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_107.pdf"
"138","200","McHenry","380 Bank Dr.","McHenry - 200","","Next to Mchenry Savings Bank","McHenry","IL","60050","USA","8153631830","","mchenry@snapfitness.com","www.snapfitness.com/mchenry","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_200.pdf"
"140","83","Menomonie","1320 Broadway St. N","Menomonie - 83","","","Menomonie","WI","54751","USA","7152329999","","menomonie@snapfitness.com","www.snapfitness.com/menomonie","Yes",""
"142","213","Mesa","2025 S Alma School Road","Mesa - 213","","Between Applebee's and Ichiban","Mesa","AZ","85210","USA","4807557627","","mesa@snapfitness.com","www.snapfitness.com/mesa","Yes","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\LocMap_213.pdf"
"144","139","Metairie","3501 Severn Ave.","Metairie - 139","","","Metairie","LA","70002","USA","5043047321","","metairie2@snapfitness.com","www.snapfitness.com/metairie2","Yes",""
"145","187","Metairie","4540 West Napoleon Ave.","Metairie - 187","","","Metairie","LA","70001","USA","5048830309","","metairie3@snapfitness.com","www.snapfitness.com/metairie3","Yes",""
"146","74","Milaca","600 B State Hwy 23","Milaca - 74","","","Milaca","MN","56353","USA","3202822190","","milaca@snapfitness.com","www.snapfitness.com/milaca","Yes",""
"147","205","Milltown","104 2nd Ave NW","Milltown - 205","","","Milltown","WI","54858","USA","6512460337","","milltown@snapfitness.com","www.snapfitness.com/milltown","Yes",""
"148","41","Minnetonka","5757 Sanibel Drive","Minnetonka - 41","","","Minnetonka","MN","55343","USA","9529357627","","minnetonka@snapfitness.com","www.snapfitness.com/minnetonka","Yes",""
"149","207","Minnetonka","14525 Highway 7","Minnetonka - 207","","","Minnetonka","MN","55345","USA","9527467627","","minnetonka2@snapfitness.com","www.snapfitness.com/minnetonka2","Yes",""
