"LOCATIONNUMBER","OLDLOCATIONID","LOCATIONID","NAME","PHONE","EMAIL","ADDRESS1","ADDRESS2","CITY","STATE","POSTALCODE","COUNTRY","BUSINESSENTITYCODE","LOCATIONSTATUSNAME","LOCATIONSTATUSCODE","WEBSITEURL","LOCATIONDESCRIPTION","LOCATIONNAMEIDENTIFIER","ISCORPORATE","MAP"
"100008","","100008","Sioux City North","712-635-3077","siouxcity@kosama.com","2101 Hamilton Blvd","","Sioux City","IA","51104","USA","kosama","Open","open","www.kosama.com/siouxcitynorth","","Sioux City North - 100008","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100008.pdf"
"100009","","100009","Waukee","515-987-1110","waukee@kosama.com","70 SE Laurel Street","","Waukee","IA","50263","USA","kosama","Open","open","www.kosama.com/waukee","","Waukee - 100009","0",""
"100010","","100010","West Des Moines","515-724-2929","wdm@kosama.com","4825 EP True Pkwy","Suite 104","West Des Moines","IA","50266","USA","kosama","Open","open","www.kosama.com/westdesmoines","","West Des Moines - 100010","0",""
"100011","","100011","Lincoln","402-423-5348","lincoln@kosama.com","3900 Yankee Hill Rd","Suite 147","Lincoln","NE","68516","USA","kosama","Open","open","www.kosama.com/lincoln","","Lincoln - 100011","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100011.pdf"
"100012","","100012","Omaha North","402-707-6254","omahanorth@kosama.com","14615 W. Maple Rd","Suites 108 & 109","Omaha","NE","68116","USA","kosama","Open","open","www.kosama.com/omahanorth","","Omaha North - 100012","0",""
"100013","","100013","Omaha West","402-707-6254","omahawest@kosama.com","16920 Wright Plaza","168th and Center suite #126","Omaha","NE","68130","USA","kosama","Open","open","www.kosama.com/omahawest","","Omaha West - 100013","0",""
"100015","","100015","Tempe","602-618-4040","tempe@kosama.com","1121 W. Warner Rd.","Suite 106","Tempe","AZ","85284","USA","kosama","Open","open","www.kosama.com/tempe","","Tempe - 100015","0",""
"100019","","100019","Overland Park South","913-685-5841","opsouth@kosama.com","8933 W. 135th Street","","Overland Park","KS","66221","USA","kosama","Open","open","www.kosama.com/overlandparksouth","","Overland Park South - 100019","1",""
"100020","","100020","Sioux Falls","605-271-7701","siouxfalls@kosama.com","6205 S Old Village Place","","Sioux Falls","SD","57108","USA","kosama","Open","open","www.kosama.com/siouxfalls","","Sioux Falls - 100020","0",""
"100022","","100022","Cedar Rapids","319-423-1143","cedarrapids@kosama.com","7085 C Avenue NE","Ste A1","Cedar Rapids","IA","52402","USA","kosama","Open","open","www.kosama.com/cedarrapids","","Cedar Rapids - 100022","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100022.pdf"
"100024","","100024","Shakopee","952-314-9922","shakopee@kosama.com","1282 Vierling Drive","","Shakopee","MN","55379","USA","kosama","Open","open","www.kosama.com/shakopee","","Shakopee - 100024","1",""
"100026","","100026","Sioux City South","712-635-3077","siouxcitysouth@kosama.com","4501 Southern Hills Dr.","#20","Sioux City","IA","51106","USA","kosama","Open","open","www.kosama.com/siouxcitysouth","","Sioux City South - 100026","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100026.pdf"
"100027","","100027","Highlands Ranch","303-731-4344","highlandsranch@kosama.com","7150 E County Line Road","","Highlands Ranch","CO","80126","USA","kosama","Open","open","www.kosama.com/highlandsranch","","Highlands Ranch - 100027","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100027.pdf"
"100028","","100028","Peachtree City","--","","300 Crosstown Dr","","Peachtree City","GA","30269","USA","kosama","Open","open","www.kosama.com/peachtreecity","","Peachtree City - 100028","0",""
"100029","","100029","Virginia Beach","757-214-0355","virginiabeach@kosama.com","5208 Fairfield Shopping Center","","Virginia Beach","VA","23464","USA","kosama","Open","open","www.kosama.com/virginiabeach","","Virginia Beach - 100029","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100029.pdf"
"1001","","1579","Alexandria- Old Town","703-299-9499","oldtownalexandria@snapfitness.com","1315 King Street","","Alexandria","VA","22314","USA","snapfitness","Open","open","www.snapfitness.com/oldtownalexandria","","Alexandria-Old Town - 1001","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1001.pdf"
"100131","","100131","Minneapolis","612-246-3380","minneapolis@kosama.com","1246 Hennepin Ave.","","Minneapolis","MN","55403","USA","kosama","Open","open","www.kosama.com/minneapolis","","Minneapolis - 100131","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100131.pdf"
"100150","","100150","Kosama","952-474-5416","kosama@kosama.com","2411 Galpin Ct., Suite 110","","Chanhassen","MN","55317","USA","kosama","Open","open","www.kosama.com/kosama","","Kosama - 100150","0",""
"100175","","100175","Maple Grove","763-447-4014","maplegrove@kosama.com","13408 Bass Lake Road","","Maple Grove","MN","55311","USA","kosama","Open","open","www.kosama.com/maplegrove","","Maple Grove - 100175","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100175.pdf"
"1002","","1618","Bedford","817--86-8-76","bedfordtx@snapfitness.com","2101 Harwood Road","Suite #124","Bedford","TX","76021","USA","snapfitness","Open","open","www.snapfitness.com/bedfordtx","","Bedford - 1002","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1002.pdf"
"1003","","923","Byron Center","616--87-8-11","byroncentermi@snapfitness.com","2492 84th Street SW","","Byron Center","MI","49315","USA","snapfitness","Open","open","www.snapfitness.com/byroncentermi","","Byron Center - 1003","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1003.pdf"
"100334","","100334","Coralville","319-333-9474","coralville@kosama.com","2201 E Grant View Dr","Suite #102","Coralville","IA","52241","USA","kosama","Open","open","www.kosama.com/Coralville","","Coralville - 100334","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_kosama_100334.pdf"
"1004","","1643","Athens","903--67-0-31","athenstx@snapfitness.com","1395 East Tyler St.","Suite 101","Athens","TX","75751","USA","snapfitness","Open","open","www.snapfitness.com/athenstx","","Athens - 1004","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1004.pdf"
"1007","","247","Melrose","320-256-7627","melrosemn@snapfitness.com","321 East Main Street","","Melrose","MN","56352","USA","snapfitness","Open","open","www.snapfitness.com/melrosemn","","Melrose - 1007","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1007.pdf"
"1008","","1587","El Campo","979--54-3-23","elcampotx@snapfitness.com","3703 Peters Road","","El Campo","TX","77437","USA","snapfitness","Open","open","www.snapfitness.com/elcampotx","","El Campo - 1008","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1008.pdf"
"1009","","317","Camp Verde","928--28-2-76","campverdeaz@snapfitness.com","400 Finnie Flat Rd Suite 1A","","Camp Verde","AZ","86322","USA","snapfitness","Open","open","www.snapfitness.com/campverdeaz","","Camp Verde - 1009","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1009.pdf"
"101","","227","Weston","715--24-1-89","weston@snapfitness.com","3910 Schofield Ave.","","Weston","WI","54476","USA","snapfitness","Open","open","www.snapfitness.com/weston","","Weston - 101","0",""
"1010","","1610","Fremont","510--22-6-76","fremontca@snapfitness.com","43480 Mission Blvd","Suite #160","Fremont","CA","94539","USA","snapfitness","Open","open","www.snapfitness.com/fremontca","","Fremont - 1010","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1010.pdf"
"1011","","857","Marmora","609-328-3379","marmora@snapfitness.com","4 W. Roosevelt Blvd.","Over 34th St Bridge from OC","Marmora","NJ","08223","USA","snapfitness","Open","open","www.snapfitness.com/marmora","","Marmora - 1011","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1011.pdf"
"1012","","1608","Gainesville","571-222-7627","gainesvilleva@snapfitness.com","7641 Somerset Crossing Dr.","","Gainesville","VA","20155","USA","snapfitness","Open","open","www.snapfitness.com/gainesvilleva","","Gainesville - 1012","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1012.pdf"
"1013","","1621","Paducah","270-443-0900","paducahky@snapfitness.com","3215 Irvin Cobb Dr.","Suite 103","Paducah","KY","42003","USA","snapfitness","Open","open","www.snapfitness.com/paducahky","","Paducah - 1013","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1013.pdf"
"1015","","1415","German Village","614--75-4-70","germanvillage@snapfitness.com","864 S Third St","","Columbus","OH","43206","USA","snapfitness","Open","open","www.snapfitness.com/germanvillage","","German Village - 1015","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1015.pdf"
"1016","","655","Gonzales","225--62-2-99","gonzaleseastcreek@snapfitness.com","14505 Hwy. 44","","Gonzales","LA","70737","USA","snapfitness","Open","open","www.snapfitness.com/gonzaleseastcreek","","Gonzales - 1016","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1016.pdf"
"1017","","1697","De Witt","563--65-9-19","dewittia@snapfitness.com","100 6th Ave","","De Witt","IA","52742","USA","snapfitness","Open","open","www.snapfitness.com/dewittia","","De Witt - 1017","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1017.pdf"
"1019","","1627","Corpus Christi","361--90-6-19","corpuschristi@snapfitness.com","6534 Yorktown Blvd Suite 104","Yorktown & Cimarron across from Bill Witt Park","Corpus Christi","TX","78414","USA","snapfitness","Open","open","www.snapfitness.com/corpuschristi","","Corpus Christi - 1019","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1019.pdf"
"1020","","1672","Carlinville","217--85-4-40","carlinville@snapfitness.com","276 N. Broad St.","","Carlinville","IL","62626","USA","snapfitness","Open","open","www.snapfitness.com/carlinville","","Carlinville - 1020","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1020.pdf"
"1021","","1430","Bluewater Bay","850-279-4994","bluewater@snapfitness.com","4576 Highway 20 East","","Niceville","FL","32578","USA","snapfitness","Open","open","www.snapfitness.com/bluewater","","Bluewater Bay - 1021","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1021.pdf"
"1022","","1719","Mt. Airy","301--82-9-06","mtairymd@snapfitness.com","1311 S. Main Street","","Mt. Airy","MD","21771","USA","snapfitness","Open","open","www.snapfitness.com/mtairymd","","Mt. Airy - 1022","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1022.pdf"
"1024","","1699","Nipomo","805--92-9-29","nipomo@snapfitness.com","671 W. Tefft St.","","Nipomo","CA","93444","USA","snapfitness","Open","open","www.snapfitness.com/nipomo","","Nipomo - 1024","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1024.pdf"
"1027","","875","Prairieville-Galvez","225--62-2-SN","galvez@snapfitness.com","40306 Highway 42","","Galvez","LA","70769","USA","snapfitness","Open","open","www.snapfitness.com/galvez","","Prairieville-Galvez - 1027","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1027.pdf"
"1028","","1550","Oak Ridge","336-643-5501","oakridgenc@snapfitness.com","1433 B (68 Place) Highway 68 North","","Oak Ridge","NC","27310","USA","snapfitness","Open","open","www.snapfitness.com/oakridgenc","","Oak Ridge - 1028","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1028.pdf"
"1029","","1739","Lynchburg","434-384-6600","lynchburgva@snapfitness.com","4119 Boonsboro Rd","","Lynchburg","VA","24503","USA","snapfitness","Open","open","www.snapfitness.com/lynchburgva","","Lynchburg - 1029","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1029.pdf"
"103","","206","Stanley","715--64-4-01","stanley@snapfitness.com","611 South Broadway","","Stanley","WI","54768","USA","snapfitness","Open","open","www.snapfitness.com/stanley","","Stanley - 103","0",""
"1030","","1116","Spokane Valley","509--89-3-88","spokanevalleywa@snapfitness.com","13514 E. 32nd Ave.","Suite A","Spokane Valley","WA","99206","USA","snapfitness","Open","open","www.snapfitness.com/spokanevalleywa","","Spokane Valley - 1030","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1030.pdf"
"1032","","1687","Smyrna","302-653-8023","smyrnade@snapfitness.com","665 South Carter Road","","Smyrna","DE","19977","USA","snapfitness","Open","open","www.snapfitness.com/smyrnade","","Smyrna - 1032","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1032.pdf"
"1034","","1740","Le Claire","563-289-2700","leclaire@snapfitness.com","1405 Eagle Ridge Road","Suite A","Le Claire","IA","52753","USA","snapfitness","Open","open","www.snapfitness.com/leclaire","","Le Claire - 1034","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1034.pdf"
"1035","","1416","Upper Arlington","614--82-4-52","upperarlington@snapfitness.com","2080 Arlington Ave","","Upper Arlington","OH","43221","USA","snapfitness","Open","open","www.snapfitness.com/upperarlington","","Upper Arlington - 1035","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1035.pdf"
"1036","","315","Walker","225--37-2-20","walker@snapfitness.com","28977 Walker South Rd.","Suite H","Walker","LA","70785","USA","snapfitness","Open","open","www.snapfitness.com/walker","","Walker - 1036","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1036.pdf"
"1037","","1715","Dover","302-741-2444","doverde@snapfitness.com","1030 Forrest Ave.","","Dover","DE","19901","USA","snapfitness","Open","open","www.snapfitness.com/doverde","","Dover - 1037","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1037.pdf"
"104","","215","Valley City","701--84-5-00","valleycity@snapfitness.com","323 Central Ave. North","","Valley City","ND","58072","USA","snapfitness","Open","open","www.snapfitness.com/valleycity","","Valley City - 104","0",""
"1040","","1670","Newport","252-777-4349","newportnc@snapfitness.com","6919 Hwy. 70 East","","Newport","NC","28570","USA","snapfitness","Open","open","www.snapfitness.com/newportnc","","Newport - 1040","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1040.pdf"
"1042","","1690","Spokane-Northtown Square","509--53-4-14","spokanenorthtownsquare@snapfitness.com","4727 N Division","Building A, Suite 100","Spokane","WA","99207","USA","snapfitness","Open","open","www.snapfitness.com/spokanenorthtownsquare","","Spokane-Northtown Square - 1042","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1042.pdf"
"1044","","1727","Winchester","540--54-5-76","winchesterva@snapfitness.com","611 West Jubal Early Dr.","Suite C","Winchester","VA","22601","USA","snapfitness","Open","open","www.snapfitness.com/winchesterva","","Winchester - 1044","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1044.pdf"
"1045","","712","Prescott Valley","928--77-5-08","prescottvalley@snapfitness.com","6455 North Viewpoint Drive","","Prescott Valley","AZ","86314","USA","snapfitness","Open","open","www.snapfitness.com/prescottvalley","","Prescott Valley - 1045","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1045.pdf"
"1046","","1755","Cross Plains","608-413-0008","crossplainswi@snapfitness.com","34 Glaciers Edge Square","","Cross Plains","WI","53528","USA","snapfitness","Open","open","www.snapfitness.com/crossplainswi","","Cross Plains - 1046","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1046.pdf"
"1051","","1682","Ringwood","973-556-5956","ringwood@snapfitness.com","115 Skyline Dr","","Ringwood","NJ","07456","USA","snapfitness","Open","open","www.snapfitness.com/ringwood","","Ringwood - 1051","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1051.pdf"
"1053","","1673","Casper","307--23-7-68","casper@snapfitness.com","2135 East 12th Street","","Casper","WY","82601","USA","snapfitness","Open","open","www.snapfitness.com/casper","","Casper - 1053","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1053.pdf"
"1054","","1737","Columbia Northeast","803-462-9332","columbianortheast@snapfitness.com","843 Polo Road","","Columbia","SC","29223","USA","snapfitness","Open","open","www.snapfitness.com/columbianortheast","","Columbia Northeast - 1054","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1054.pdf"
"1055","","1753","Williamsburg","757-229-7627","williamsburg@snapfitness.com","7500 Richmond Road, Suite D","","Williamsburg","VA","23188","USA","snapfitness","Open","open","www.snapfitness.com/williamsburg","","Williamsburg - 1055","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1055.pdf"
"1056","","1657","Isanti","763--44-4-34","isanti@snapfitness.com","404 Whiskey Road","Suite J","Isanti","MN","55040","USA","snapfitness","Open","open","www.snapfitness.com/isanti","","Isanti - 1056","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1056.pdf"
"1058","","1762","Abbeville","337-893-0009","abbeville@snapfitness.com","109 Rue Centre Suite 3","Hwy. 14 and Airport Rd.","Abbeville","LA","70510","USA","snapfitness","Open","open","www.snapfitness.com/abbeville","","Abbeville - 1058","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1058.pdf"
"106","","221","Waterford","262--51-4-44","waterford@snapfitness.com","790 Cornerstone Crossing","","Waterford","WI","53185","USA","snapfitness","Open","open","www.snapfitness.com/waterford","","Waterford - 106","0",""
"1061","","1695","Amherst","434-381-6001","amherstva@snapfitness.com","203 South Main Street","","Amherst","VA","24521","USA","snapfitness","Open","open","www.snapfitness.com/amherstva","","Amherst - 1061","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1061.pdf"
"1063","","1782","Springfield","802-886-2407","springfieldvt@snapfitness.com","363 River Street","Suite 104","Springfield","VT","05156","USA","snapfitness","Open","open","www.snapfitness.com/springfieldvt","","Springfield - 1063","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1063.pdf"
"1064","","1078","Etna","412-821-7627","etnapa@snapfitness.com","550 Butler Street","Etna Towne Center","Etna","PA","15223","USA","snapfitness","Open","open","www.snapfitness.com/etnapa","","Etna - 1064","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1064.pdf"
"1065","","1735","Exeter","559--59-4-43","exeter@snapfitness.com","161 North E Street","","Exeter","CA","93221","USA","snapfitness","Open","open","www.snapfitness.com/exeter","","Exeter - 1065","0",""
"1067","","1777","Grenada","662--29-4-88","grenadams@snapfitness.com","1324 Sunset Drive","Suite A","Grenada","MS","38901","USA","snapfitness","Open","open","www.snapfitness.com/grenadams","","Grenada - 1067","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1067.pdf"
"107","","128","Marshfield","715-387-3488","marshfield@snapfitness.com","705 S. Central Ave.","","Marshfield","WI","54449","USA","snapfitness","Open","open","www.snapfitness.com/marshfield","","Marshfield - 107","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_107.pdf"
"1070","","1775","Chelsea","205--67-8-47","chelsea@snapfitness.com","20 Chelsea Corners","Chelsea Corners Shopping Center","Chelsea","AL","35043","USA","snapfitness","Open","open","www.snapfitness.com/chelsea","","Chelsea - 1070","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1070.pdf"
"1071","","817","New Castle","302--32-6-12","newcastle@snapfitness.com","1214 Beaver Brook Plaza","","New Castle","DE","19720","USA","snapfitness","Open","open","www.snapfitness.com/newcastle","","New Castle - 1071","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1071.pdf"
"1074","","1815","Lindstrom","651--25-7-23","lindstrommn@snapfitness.com","12715 Lake Blvd.","","Lindstrom","MN","55045","USA","snapfitness","Open","open","www.snapfitness.com/lindstrommn","","Lindstrom - 1074","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1074.pdf"
"1075","","1112","Pearland","281--99-6-98","pearlandtx@snapfitness.com","3108 Dixie Farm Rd. Suite 112","","Pearland","TX","77581","USA","snapfitness","Open","open","www.snapfitness.com/pearlandtx","","Pearland - 1075","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1075.pdf"
"1076","","1669","Basehor","913--72-4-24","basehor@snapfitness.com","15604 Pinehurst Dr.","","Basehor","KS","66007","USA","snapfitness","Open","open","www.snapfitness.com/basehor","","Basehor - 1076","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1076.pdf"
"1077","","1838","Morehead City","252-622-4222","moreheadcitync@snapfitness.com","2900 Arendell St","","Morehead City","NC","28557","USA","snapfitness","Open","open","www.snapfitness.com/moreheadcitync","","Morehead City - 1077","0",""
"1078","","1734","Ridgefield","203--54-4-00","ridgefieldct@snapfitness.com","1 Ethan Allen Highway","","Ridgefield","CT","06877","USA","snapfitness","Open","open","www.snapfitness.com/ridgefieldct","","Ridgefield - 1078","1","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1078.pdf"
"108","","112","Las Vegas","702--73-1-41","lasvegas1@snapfitness.com","3350 Novat Street Suite 160","(corner of Cheyenne & I - 215)","Las Vegas","NV","89129","USA","snapfitness","Open","open","www.snapfitness.com/lasvegas1","","Las Vegas - 108","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_108.pdf"
"1080","","1545","Sedona West","928--28-2-21","sedonawest@snapfitness.com","2081 West SR-89A","","Sedona","AZ","86336","USA","snapfitness","Open","open","www.snapfitness.com/sedonawest","","Sedona West - 1080","0","\\storage2\ProjectFiles\Four51\shared\2186d5b6-cda6-4676-bd5d-a15811ebf985\Maps\locmap_1080.pdf"
